,pid,condition,day,timing,block,hand,RT
0,Okubo,control,Day1,pre,0,left,26.41954957491361
1,Okubo,control,Day1,pre,0,right,33.24525280151056
2,Okubo,control,Day1,pre,1,right,29.86050382185249
3,Okubo,control,Day1,pre,1,left,27.82751542243432
4,Okubo,control,Day1,pre,2,right,37.88163269996494
5,Okubo,control,Day1,pre,2,left,32.586067810828354
6,Okubo,control,Day1,pre,3,left,27.803194612825788
7,Okubo,control,Day1,pre,3,right,29.83544411438516
8,Okubo,control,Day1,pre,4,left,25.270913892927183
9,Okubo,control,Day1,pre,4,right,26.900647924172066
0,Okubo,control,Day1,post,0,left,20.208785568317573
1,Okubo,control,Day1,post,0,right,17.482688760823294
2,Okubo,control,Day1,post,1,right,14.754914590072074
3,Okubo,control,Day1,post,1,left,16.094472821850104
4,Okubo,control,Day1,post,2,right,14.395031496047526
5,Okubo,control,Day1,post,2,left,18.032820624787746
6,Okubo,control,Day1,post,3,right,15.190194377251828
7,Okubo,control,Day1,post,3,left,16.427071853890084
8,Okubo,control,Day1,post,4,right,14.819606648930858
9,Okubo,control,Day1,post,4,left,18.50611515545005
0,Okubo,control,Day2,pre,0,left,15.172618577930507
1,Okubo,control,Day2,pre,0,right,14.355422374385624
2,Okubo,control,Day2,pre,1,right,14.001187828606362
3,Okubo,control,Day2,pre,1,left,13.809848596860776
4,Okubo,control,Day2,pre,2,left,15.156396539400705
5,Okubo,control,Day2,pre,2,right,13.88881257742355
6,Okubo,control,Day2,pre,3,left,13.291463492177856
7,Okubo,control,Day2,pre,3,right,14.188243063211074
8,Okubo,control,Day2,pre,4,left,13.401741178237215
9,Okubo,control,Day2,pre,4,right,13.320485044697762
0,Okubo,control,Day2,post,0,right,15.848111157161838
1,Okubo,control,Day2,post,0,left,15.920926084961138
2,Okubo,control,Day2,post,1,left,14.527408541793651
3,Okubo,control,Day2,post,1,right,14.294867247416732
4,Okubo,control,Day2,post,2,left,13.14396666572202
5,Okubo,control,Day2,post,2,right,12.992412988969136
6,Okubo,control,Day2,post,3,right,14.4715989835463
7,Okubo,control,Day2,post,3,left,14.280914762093287
8,Okubo,control,Day2,post,4,right,14.658067773263607
9,Okubo,control,Day2,post,4,left,15.524173710261948
0,Okubo,control,Day3,pre,0,right,14.216823128698707
1,Okubo,control,Day3,pre,0,left,14.788419255937695
2,Okubo,control,Day3,pre,1,left,16.598132108399113
3,Okubo,control,Day3,pre,1,right,15.067396397211269
4,Okubo,control,Day3,pre,2,right,14.877206926719735
5,Okubo,control,Day3,pre,2,left,13.850998450957375
6,Okubo,control,Day3,pre,3,left,13.410050546915045
7,Okubo,control,Day3,pre,3,right,14.54969731606434
8,Okubo,control,Day3,pre,4,left,13.783897766221347
9,Okubo,control,Day3,pre,4,right,16.97662569082513
0,Okubo,control,Day3,post,0,left,13.78403528018407
1,Okubo,control,Day3,post,0,right,13.509927818576216
2,Okubo,control,Day3,post,1,right,15.103892372916562
3,Okubo,control,Day3,post,1,left,16.935286082667517
4,Okubo,control,Day3,post,2,left,12.747861447213836
5,Okubo,control,Day3,post,2,right,11.852034976809591
6,Okubo,control,Day3,post,3,left,12.385323697906642
7,Okubo,control,Day3,post,3,right,15.008665677893077
8,Okubo,control,Day3,post,4,left,16.35614124331005
9,Okubo,control,Day3,post,4,right,16.376009137975416
