,pid,condition,timing,view,hand,face,angle,response,RT
0,Okubo,control,pre,0,right,palm,240,True,1.8357547655848518
1,Okubo,control,pre,0,right,back,300,True,1.325100118936234
2,Okubo,control,pre,0,right,back,60,True,1.1626548228502998
3,Okubo,control,pre,0,left,palm,300,True,2.23143859084621
4,Okubo,control,pre,0,right,palm,120,True,3.9681948330776318
5,Okubo,control,pre,0,right,back,0,True,1.0975686085239431
6,Okubo,control,pre,0,right,palm,60,True,1.5202859829660156
7,Okubo,control,pre,0,left,palm,180,True,2.5339856625471384
8,Okubo,control,pre,0,left,back,240,True,2.9462803253600214
9,Okubo,control,pre,0,left,back,0,True,0.9250097198203092
10,Okubo,control,pre,0,left,back,60,True,0.85928879644689
11,Okubo,control,pre,0,right,palm,300,True,1.988257691107037
12,Okubo,control,pre,0,right,back,120,True,1.374797799011276
13,Okubo,control,pre,0,left,back,120,True,1.058420811715223
14,Okubo,control,pre,0,left,back,180,True,3.018544076272292
15,Okubo,control,pre,0,left,palm,60,True,1.3632699964950916
16,Okubo,control,pre,0,right,palm,0,True,1.6468064405539735
17,Okubo,control,pre,0,left,back,300,True,1.0069312372995682
18,Okubo,control,pre,0,left,palm,0,True,1.2578267056608183
19,Okubo,control,pre,0,left,palm,240,True,1.2264019045101122
20,Okubo,control,pre,0,right,palm,180,True,2.155692558735609
21,Okubo,control,pre,0,right,back,240,True,1.5033809652404668
22,Okubo,control,pre,0,right,back,180,True,2.7902231057842077
23,Okubo,control,pre,0,left,palm,120,True,3.111854350170006
24,Okubo,control,pre,1,right,palm,0,True,1.1002441925272706
25,Okubo,control,pre,1,right,palm,120,True,1.8116262456212555
26,Okubo,control,pre,1,left,palm,240,True,1.8293168929517376
27,Okubo,control,pre,1,right,back,180,True,2.67938919309222
28,Okubo,control,pre,1,left,back,0,True,1.5897071413387494
29,Okubo,control,pre,1,right,back,120,True,2.240460116178156
30,Okubo,control,pre,1,right,back,300,True,1.2326440400743195
