,block,hand,RT
0,0,right,44.28568035868557
1,0,left,36.07597432818284
2,0,left,30.942467857560132
3,0,right,25.92959402752922
4,0,right,30.368812688052003
5,0,left,27.315661838357755
6,0,right,35.60885643203119
7,0,left,31.456804352947074
8,0,left,36.8443855828732
9,0,right,33.63569309500144
0,1,right,28.03624927939245
1,1,left,25.413475597027173
2,1,left,17.720836421650347
3,1,right,17.954559505409634
4,1,right,16.12436351936003
5,1,left,16.719551298625447
6,1,right,21.34184540602064
7,1,left,17.053932648827868
8,1,left,19.03049323059986
9,1,right,19.23946649199752
0,2,right,21.025928458292583
1,2,left,16.94795500728742
2,2,left,26.014149376877867
3,2,right,22.042638505044124
4,2,right,20.909749889395243
5,2,left,19.956979980043343
6,2,right,24.766829653208333
7,2,left,25.22599549153574
8,2,left,24.444302078605233
9,2,right,25.780474940101158
0,3,right,21.960049719513336
1,3,left,24.495712745317178
2,3,left,23.09403461596594
3,3,right,27.54924434383065
4,3,right,25.413402435030548
5,3,left,17.40491411126368
6,3,right,18.07137584773045
7,3,left,16.552966795562497
8,3,left,15.420663475883885
9,3,right,19.508950470094533
0,4,right,18.456058943288554
1,4,left,19.12272101338931
2,4,left,17.39114126968616
3,4,right,23.362730283130077
4,4,right,21.57562824512752
5,4,left,17.39348934841837
6,4,right,19.628013383665348
7,4,left,20.446066776601583
8,4,left,23.310884091863045
9,4,right,15.61851419859886
