,pid,condition,day,timing,block,hand,RT
0,P01,continuous,Day1,pre,0,left,0.35372036100000004
1,P01,continuous,Day1,pre,0,right,0.461916529
0,P01,continuous,Day1,post,0,right,1.833493
1,P01,continuous,Day1,post,0,left,0.467409803
0,P01,continuous,Day2,pre,0,right,0.249309462
1,P01,continuous,Day2,pre,0,left,0.355221139
0,P01,continuous,Day2,post,0,right,0.332830521
1,P01,continuous,Day2,post,0,left,0.316200926
0,P01,continuous,Day3,pre,0,right,5.640077344812197
1,P01,continuous,Day3,pre,0,left,11.054268156513901
0,P01,continuous,Day3,post,0,right,0.498624670436584
1,P01,continuous,Day3,post,0,left,0.535144736150869
0,P01,continuous,Day3,pre,0,left,0.9957711632405336
1,P01,continuous,Day3,pre,0,right,0.6980679502057683
2,P01,continuous,Day3,pre,1,right,0.7186659092558331
3,P01,continuous,Day3,pre,1,left,0.7373061160697034
4,P01,continuous,Day3,pre,2,right,0.4163948630357481
5,P01,continuous,Day3,pre,2,left,1.7548285922985087
6,P01,continuous,Day3,pre,3,left,0.9332759273856936
7,P01,continuous,Day3,pre,3,right,0.7698444102170471
8,P01,continuous,Day3,pre,4,right,2.2357189616213877
9,P01,continuous,Day3,pre,4,left,0.7412001699194661
0,P01,continuous,Day3,post,0,right,0.7174822946190034
1,P01,continuous,Day3,post,0,left,3.049497691568831
2,P01,continuous,Day3,post,1,right,19.77487343175926
3,P01,continuous,Day3,post,1,left,1.9140573198910715
4,P01,continuous,Day3,post,2,right,0.9098238865699386
5,P01,continuous,Day3,post,2,left,0.39845639797385957
6,P01,continuous,Day3,post,3,left,3.4361976169111585
7,P01,continuous,Day3,post,3,right,6.817383583455012
8,P01,continuous,Day3,post,4,left,0.3986590297336079
9,P01,continuous,Day3,post,4,right,1.0924406861595344
