,pid,condition,timing,view,hand,face,angle,response,RT
0,P01,continuous,pre,0,right,palm,60,False,0.7943043554550968
1,P01,continuous,pre,0,left,back,60,True,0.40982136013917625
2,P01,continuous,pre,0,right,palm,0,False,0.4574857181869447
3,P01,continuous,pre,0,right,back,240,False,6.8147653511259705
4,P01,continuous,pre,0,right,palm,180,False,0.3073523976490833
5,P01,continuous,pre,0,right,palm,300,False,0.33985259936889634
6,P01,continuous,pre,0,right,back,300,False,0.38767580094281584
7,P01,continuous,pre,0,left,back,120,True,0.3876542105572298
8,P01,continuous,pre,0,right,back,60,False,0.4013481649453752
9,P01,continuous,pre,0,left,palm,60,True,0.36960105609614397
10,P01,continuous,pre,0,right,palm,240,False,0.339132406108547
11,P01,continuous,pre,0,left,palm,240,True,0.4655065436963923
12,P01,continuous,pre,0,left,back,300,True,0.4211141560808756
13,P01,continuous,pre,0,left,palm,0,True,0.35734491812763736
14,P01,continuous,pre,0,left,palm,300,True,0.3555426356033422
15,P01,continuous,pre,0,right,back,120,False,0.35504657099954784
16,P01,continuous,pre,0,left,back,0,True,0.2605449720285833
17,P01,continuous,pre,0,left,palm,120,True,0.24365101516013965
18,P01,continuous,pre,0,left,back,240,True,0.28712015715427697
19,P01,continuous,pre,0,left,palm,180,True,0.18065183405997232
20,P01,continuous,pre,0,right,palm,120,False,0.2582656449521892
21,P01,continuous,pre,0,right,back,0,False,0.2128029913874343
22,P01,continuous,pre,0,left,back,180,True,0.2913441603886895
23,P01,continuous,pre,0,right,back,180,False,0.2442889594240114
0,P01,continuous,post,0,left,palm,120,True,3.2505923217977397
1,P01,continuous,post,0,left,palm,60,True,0.4661450020503253
2,P01,continuous,post,0,right,palm,180,False,0.4352692191605456
3,P01,continuous,post,0,left,back,60,True,0.3726427290821448
4,P01,continuous,post,0,left,back,240,True,0.45199096703436226
5,P01,continuous,post,0,right,back,240,False,0.19532815064303577
6,P01,continuous,post,0,right,palm,60,False,0.4520259228302166
7,P01,continuous,post,0,right,back,60,False,0.21094930317485705
8,P01,continuous,post,0,right,palm,120,False,0.1177189662703313
9,P01,continuous,post,0,left,back,300,True,0.11844738450599834
10,P01,continuous,post,0,left,palm,240,True,0.5627213334664702
11,P01,continuous,post,0,left,back,180,True,0.40585387113969773
12,P01,continuous,post,0,left,back,0,True,0.325084266718477
13,P01,continuous,post,0,right,back,300,False,0.26202494103927165
14,P01,continuous,post,0,right,palm,240,False,0.3556315673631616
15,P01,continuous,post,0,left,back,120,True,0.16530775796854869
16,P01,continuous,post,0,right,palm,300,False,0.18171747348969802
17,P01,continuous,post,0,right,palm,0,False,0.2766133538680151
18,P01,continuous,post,0,right,back,180,False,0.14783137501217425
19,P01,continuous,post,0,left,palm,300,True,0.15003719204105437
20,P01,continuous,post,0,right,back,120,False,0.18227214057696983
21,P01,continuous,post,0,right,back,0,False,0.11704143963288516
22,P01,continuous,post,0,left,palm,180,True,0.10267869761446491
23,P01,continuous,post,0,left,palm,0,True,0.22957151843002066
