,pid,condition,day,block,hand,RT
0,P01,control,Day1,0,right,2.8531149557948083
1,P01,control,Day1,0,left,6.7580255009588655
0,P01,control,Day1,1,right,0.016628061932351557
1,P01,control,Day1,1,left,2.3693371796334763
0,P01,control,Day2,0,right,0.3325118256125279
1,P01,control,Day2,0,left,0.4314106809533769
0,P01,control,Day2,1,right,2.8381588931788437
1,P01,control,Day2,1,left,0.4171441025928289
0,P01,control,Day3,0,right,0.2616110106037013
1,P01,control,Day3,0,left,0.4190440147594927
0,P01,control,Day3,1,right,0.5505784581373518
1,P01,control,Day3,1,left,0.4503967790360548
0,P01,control,Day3,0,right,2.731399917338422
1,P01,control,Day3,0,left,1.5684521882894842
2,P01,control,Day3,0,right,0.6339049285488727
3,P01,control,Day3,0,left,0.5838686731676717
4,P01,control,Day3,0,right,2.219259440284077
5,P01,control,Day3,0,left,0.6840388608652574
6,P01,control,Day3,0,right,1.6852695902580308
7,P01,control,Day3,0,left,0.8509024774321006
8,P01,control,Day3,0,left,0.7508165600329448
9,P01,control,Day3,0,right,0.6506490536639831
0,P01,control,Day3,1,right,1.051262388212308
1,P01,control,Day3,1,left,0.016615421387541573
2,P01,control,Day3,1,right,1.551762072773272
3,P01,control,Day3,1,left,1.2012527928900454
4,P01,control,Day3,1,right,0.7507196491906143
5,P01,control,Day3,1,left,0.01660009951592656
6,P01,control,Day3,1,right,1.6685553427942068
7,P01,control,Day3,1,left,1.2514330738695207
8,P01,control,Day3,1,left,0.65073792052317
9,P01,control,Day3,1,right,0.7508598443218943
0,P01,control,Day3,2,right,1.101199434468981
1,P01,control,Day3,2,left,4.772238069719606
2,P01,control,Day3,2,right,0.817527226009588
3,P01,control,Day3,2,left,3.4873822466233833
4,P01,control,Day3,2,right,1.218076974788346
5,P01,control,Day3,2,left,2.1859504559597553
6,P01,control,Day3,2,right,0.4838513211479949
7,P01,control,Day3,2,left,3.6541443557862294
8,P01,control,Day3,2,left,0.5672409942826562
9,P01,control,Day3,2,right,0.6507026802173641
0,P01,control,Day3,3,right,3.136909739233488
1,P01,control,Day3,3,left,0.5338477396608141
2,P01,control,Day3,3,right,0.6840940196052543
3,P01,control,Day3,3,left,0.7507093069261828
4,P01,control,Day3,3,right,0.8843137352541817
5,P01,control,Day3,3,left,0.6508034215275984
6,P01,control,Day3,3,right,1.0512463002460208
7,P01,control,Day3,3,left,0.6840063018862566
8,P01,control,Day3,3,left,0.5504735033109682
9,P01,control,Day3,3,right,0.817445637039782
0,P01,control,Day3,4,right,1.7352920559542326
1,P01,control,Day3,4,left,0.5838410937976732
2,P01,control,Day3,4,right,0.7842327974631189
3,P01,control,Day3,4,left,0.8342196398052693
4,P01,control,Day3,4,right,1.7019857529567162
5,P01,control,Day3,4,left,1.1847745022596428
6,P01,control,Day3,4,right,4.938635518321462
7,P01,control,Day3,4,left,0.7508027703479456
8,P01,control,Day3,4,left,2.4194393190646224
9,P01,control,Day3,4,right,1.184673760948499
