,pid,condition,day,block,hand,RT
0,Yu,control,Day3,0,right,10.869442942047954
1,Yu,control,Day3,0,left,45.29318589589366
2,Yu,control,Day3,0,right,11.19653694643921
3,Yu,control,Day3,0,left,14.417280563723125
4,Yu,control,Day3,0,right,12.31448562117248
5,Yu,control,Day3,0,left,15.785357942331302
6,Yu,control,Day3,0,left,15.918824244133248
7,Yu,control,Day3,0,right,11.563590056706289
8,Yu,control,Day3,0,right,11.747065858079623
9,Yu,control,Day3,0,left,13.74950816733326
0,Yu,control,Day3,1,right,11.730353506644406
1,Yu,control,Day3,1,left,12.581454614263748
2,Yu,control,Day3,1,right,10.32871314510885
3,Yu,control,Day3,1,left,12.714880696104046
4,Yu,control,Day3,1,right,12.164279771581278
5,Yu,control,Day3,1,left,13.432793211176886
6,Yu,control,Day3,1,left,14.517022236658704
7,Yu,control,Day3,1,right,12.448319648332017
8,Yu,control,Day3,1,right,11.463449248537472
9,Yu,control,Day3,1,left,12.831698232313556
0,Yu,control,Day3,2,right,11.563542175800649
1,Yu,control,Day3,2,left,10.779237613401165
2,Yu,control,Day3,2,right,11.329915530420749
3,Yu,control,Day3,2,left,12.097484758550308
4,Yu,control,Day3,2,right,10.812692193956991
5,Yu,control,Day3,2,left,11.179757944782978
6,Yu,control,Day3,2,left,12.81498779611502
7,Yu,control,Day3,2,right,11.78046259850089
8,Yu,control,Day3,2,right,12.347875083695726
9,Yu,control,Day3,2,left,11.246467155230675
0,Yu,control,Day3,3,right,11.563564009493348
1,Yu,control,Day3,3,left,11.897376279569471
2,Yu,control,Day3,3,right,11.246436128403275
3,Yu,control,Day3,3,left,13.61599398462613
4,Yu,control,Day3,3,right,11.463633494264286
5,Yu,control,Day3,3,left,13.616132647729955
6,Yu,control,Day3,3,left,10.39549130406158
7,Yu,control,Day3,3,right,11.997399109185153
8,Yu,control,Day3,3,right,11.813811074968726
9,Yu,control,Day3,3,left,13.031896344350116
0,Yu,control,Day3,4,right,11.863971878202847
1,Yu,control,Day3,4,left,11.797191420967465
2,Yu,control,Day3,4,right,11.613639010144652
3,Yu,control,Day3,4,left,10.979534551627694
4,Yu,control,Day3,4,right,11.730448502362378
5,Yu,control,Day3,4,left,11.246650251815481
6,Yu,control,Day3,4,left,13.299080226947808
7,Yu,control,Day3,4,right,12.69828134360705
8,Yu,control,Day3,4,right,13.365730448119393
9,Yu,control,Day3,4,left,11.780497838847623
