,pid,condition,day,timing,block,hand,RT
0,sha3,continuous,Day1,pre,0,right,0.4678479346639506
1,sha3,continuous,Day1,pre,0,left,0.6378847187334031
2,sha3,continuous,Day1,pre,1,left,0.2288173670758624
3,sha3,continuous,Day1,pre,1,right,0.20373387225572515
4,sha3,continuous,Day1,pre,2,right,0.38313157573247736
5,sha3,continuous,Day1,pre,2,left,0.6800846995047323
6,sha3,continuous,Day1,pre,3,left,0.3324693054310046
7,sha3,continuous,Day1,pre,3,right,0.7761657003011351
8,sha3,continuous,Day1,pre,4,right,0.14478781264824647
9,sha3,continuous,Day1,pre,4,left,0.028673034707026087
0,sha3,continuous,Day2,pre,0,left,0.3944211402485962
1,sha3,continuous,Day2,pre,0,right,0.28253214440428565
2,sha3,continuous,Day2,pre,1,left,0.11140099308977369
3,sha3,continuous,Day2,pre,1,right,0.1485773034291924
4,sha3,continuous,Day2,pre,2,left,0.3410009265926419
5,sha3,continuous,Day2,pre,2,right,0.06708582298415422
6,sha3,continuous,Day2,pre,3,right,0.16302433003966144
7,sha3,continuous,Day2,pre,3,left,0.05412961797537719
8,sha3,continuous,Day2,pre,4,right,0.3485810572956325
9,sha3,continuous,Day2,pre,4,left,0.32766167389581824
