,pid,condition,timing,view,hand,face,angle,response,RT
0,sha3,continuous,pre,0,left,back,240,True,32.7088795433765
1,sha3,continuous,pre,0,left,back,0,True,0.047605932795704575
2,sha3,continuous,pre,0,right,palm,180,True,0.28234330189388857
3,sha3,continuous,pre,0,right,palm,60,False,0.4970763885185079
4,sha3,continuous,pre,0,right,palm,0,False,0.08915971211627038
5,sha3,continuous,pre,0,left,palm,180,True,0.3380602694896879
6,sha3,continuous,pre,0,right,back,60,False,1.1036427452099815
7,sha3,continuous,pre,0,right,palm,120,False,1.078317547298866
8,sha3,continuous,pre,0,left,back,120,True,0.7506099076817918
9,sha3,continuous,pre,0,left,palm,0,True,0.3797925490334819
10,sha3,continuous,pre,0,right,back,240,False,0.016691303017069004
11,sha3,continuous,pre,0,right,back,0,False,0.4683106562715693
12,sha3,continuous,pre,0,left,palm,300,True,11.196164083839903
13,sha3,continuous,pre,0,left,palm,60,False,2.1876094798171835
14,sha3,continuous,pre,0,left,back,60,True,3.44599276576173
15,sha3,continuous,pre,0,left,palm,120,True,6.780585304528358
16,sha3,continuous,pre,0,left,back,180,True,1.2418195378068049
17,sha3,continuous,pre,0,right,back,300,True,2.5230765164569675
18,sha3,continuous,pre,0,right,palm,300,False,5.615531587836813
19,sha3,continuous,pre,0,right,back,120,False,3.556934867719974
20,sha3,continuous,pre,0,left,palm,240,True,1.559527717522542
21,sha3,continuous,pre,0,left,back,300,True,8.00370368809763
22,sha3,continuous,pre,0,right,back,180,False,2.9349585025283886
23,sha3,continuous,pre,0,right,palm,240,False,3.747604132471679
24,sha3,continuous,pre,1,left,palm,240,True,3.509931085889548
25,sha3,continuous,pre,1,left,back,300,True,1.161880549642774
26,sha3,continuous,pre,1,right,palm,240,True,6.022400245763492
27,sha3,continuous,pre,1,right,palm,60,True,4.442243878035697
28,sha3,continuous,pre,1,right,back,0,True,3.9606315077408
29,sha3,continuous,pre,1,left,palm,300,False,0.9687191766315664
30,sha3,continuous,pre,1,right,back,120,True,1.9572568576077174
31,sha3,continuous,pre,1,right,palm,300,True,4.392987009703575
32,sha3,continuous,pre,1,left,palm,0,True,4.144674813580423
33,sha3,continuous,pre,1,left,back,180,True,0.1704144690902467
34,sha3,continuous,pre,1,right,palm,180,False,0.18428232759742968
35,sha3,continuous,pre,1,right,back,180,False,0.14157136120957148
36,sha3,continuous,pre,1,left,back,0,True,0.45142131759985205
37,sha3,continuous,pre,1,right,palm,120,False,0.36559641865733283
38,sha3,continuous,pre,1,right,back,240,False,0.20254182784992736
39,sha3,continuous,pre,1,left,back,60,True,0.0617361789691131
40,sha3,continuous,pre,1,left,back,120,True,0.2557031012693187
41,sha3,continuous,pre,1,right,palm,0,False,0.29770964295767044
42,sha3,continuous,pre,1,left,palm,120,True,0.21853904845647776
43,sha3,continuous,pre,1,left,palm,60,True,0.11770710718155897
44,sha3,continuous,pre,1,right,back,60,False,0.2690921501653065
45,sha3,continuous,pre,1,left,palm,180,True,0.005990099749396904
46,sha3,continuous,pre,1,right,back,300,False,0.026154113109441823
47,sha3,continuous,pre,1,left,back,240,True,0.6295162758879087
48,sha3,continuous,pre,2,right,back,120,False,0.1603138845975991
49,sha3,continuous,pre,2,right,back,0,False,0.08607311384457716
50,sha3,continuous,pre,2,left,back,240,True,0.9826835631556605
51,sha3,continuous,pre,2,right,palm,180,False,0.23499477714540262
52,sha3,continuous,pre,2,right,palm,240,False,0.30142903601063153
53,sha3,continuous,pre,2,right,back,240,False,0.18038788174999354
54,sha3,continuous,pre,2,right,back,60,False,0.15359331290710543
55,sha3,continuous,pre,2,left,back,0,True,0.1275686699163998
56,sha3,continuous,pre,2,left,back,60,True,2.3189220578397
57,sha3,continuous,pre,2,right,back,180,False,0.4041421244819503
58,sha3,continuous,pre,2,left,palm,300,True,0.06385136830431293
59,sha3,continuous,pre,2,right,palm,60,False,0.0898254489984538
60,sha3,continuous,pre,2,right,palm,120,False,0.002455335681588622
61,sha3,continuous,pre,2,left,back,120,True,0.1697460508748918
62,sha3,continuous,pre,2,right,palm,0,False,1.0838633117309655
63,sha3,continuous,pre,2,left,back,300,True,1.1957297077615294
64,sha3,continuous,pre,2,left,palm,240,True,0.21440941132823355
65,sha3,continuous,pre,2,left,back,180,True,0.17066689751754893
66,sha3,continuous,pre,2,left,palm,180,True,0.015401964498778398
67,sha3,continuous,pre,2,right,back,300,False,0.01086514767848712
68,sha3,continuous,pre,2,left,palm,60,True,0.14299285118067928
69,sha3,continuous,pre,2,left,palm,0,True,0.006205372550539323
70,sha3,continuous,pre,2,right,palm,300,False,0.17832976652061916
71,sha3,continuous,pre,2,left,palm,120,True,0.06345606308877905
