,pid,condition,timing,view,hand,face,angle,response,RT
0,tani,continuous,pre,0,left,palm,240,False,0.9872069978082436
1,tani,continuous,pre,0,right,palm,180,True,0.6546387369253353
2,tani,continuous,pre,0,right,palm,60,False,0.9917227383575664
3,tani,continuous,pre,0,left,back,0,True,0.8754515165983321
4,tani,continuous,pre,0,left,back,240,True,0.7478091629418486
5,tani,continuous,pre,0,right,back,180,True,1.08230261782046
6,tani,continuous,pre,0,left,palm,300,True,0.9552865459354508
7,tani,continuous,pre,0,left,palm,0,True,0.6960484110059042
8,tani,continuous,pre,0,right,palm,240,True,0.5201141786365042
9,tani,continuous,pre,0,right,palm,300,True,0.4876272003184568
10,tani,continuous,pre,0,left,back,120,True,1.2245214402864804
11,tani,continuous,pre,0,right,back,240,True,0.4584413206539466
12,tani,continuous,pre,0,left,palm,120,True,0.5798537986393058
13,tani,continuous,pre,0,right,back,0,True,0.4173208470238024
14,tani,continuous,pre,0,left,palm,180,True,0.4608640926435328
15,tani,continuous,pre,0,left,back,60,True,0.7584233940560807
16,tani,continuous,pre,0,right,back,60,True,0.5156658543528465
17,tani,continuous,pre,0,right,palm,0,True,1.0351384293389856
18,tani,continuous,pre,0,left,back,180,True,2.0844967107750563
19,tani,continuous,pre,0,right,back,120,True,0.6108373176593886
20,tani,continuous,pre,0,right,back,300,True,0.5183755285088409
21,tani,continuous,pre,0,right,palm,120,True,0.8217084966709081
22,tani,continuous,pre,0,left,palm,60,True,1.832133885634903
23,tani,continuous,pre,0,left,back,300,True,0.697339279242442
0,tani,continuous,post,0,left,back,0,False,0.7117935560781916
1,tani,continuous,post,0,left,palm,180,True,38.239059221356
2,tani,continuous,post,0,right,back,60,True,0.4537306092061044
3,tani,continuous,post,0,right,back,0,True,0.4473976939043496
4,tani,continuous,post,0,right,palm,300,True,0.47354984168850933
5,tani,continuous,post,0,right,back,120,False,0.49850535078076064
6,tani,continuous,post,0,right,back,240,True,0.9065350108758139
7,tani,continuous,post,0,right,palm,60,True,0.69763537453764
8,tani,continuous,post,0,left,back,120,True,0.921429025613179
9,tani,continuous,post,0,right,palm,180,True,0.5756812681611336
10,tani,continuous,post,0,right,palm,240,True,0.4518184388107329
11,tani,continuous,post,0,left,palm,120,True,0.7254426682156918
12,tani,continuous,post,0,right,palm,0,True,0.643290204799996
13,tani,continuous,post,0,right,palm,120,True,0.6287374848980107
14,tani,continuous,post,0,left,palm,240,True,1.2072054196542013
15,tani,continuous,post,0,left,palm,300,True,0.7938885624462273
16,tani,continuous,post,0,left,palm,0,True,0.7897271403344348
17,tani,continuous,post,0,right,back,300,True,0.537492635921808
18,tani,continuous,post,0,left,palm,60,True,1.247626066495286
19,tani,continuous,post,0,left,back,240,True,0.9522650715589407
20,tani,continuous,post,0,left,back,180,True,0.6538534906685527
21,tani,continuous,post,0,left,back,60,True,0.583144171978347
22,tani,continuous,post,0,right,back,180,True,1.0271499850969121
23,tani,continuous,post,0,left,back,300,False,0.45336326717733755
24,tani,continuous,post,1,left,palm,240,True,0.9030037010015803
25,tani,continuous,post,1,right,palm,240,True,0.6859754252400307
26,tani,continuous,post,1,left,palm,0,True,0.838428879287676
27,tani,continuous,post,1,right,back,180,True,0.9842387669596064
28,tani,continuous,post,1,left,palm,120,True,0.8199330740353616
29,tani,continuous,post,1,right,back,240,False,0.7742256131241447
30,tani,continuous,post,1,right,palm,300,True,0.6034946905856486
31,tani,continuous,post,1,left,back,240,True,0.7269166328951542
32,tani,continuous,post,1,right,palm,120,True,0.6292921368876705
33,tani,continuous,post,1,right,back,0,True,0.47990573980860063
34,tani,continuous,post,1,left,back,0,True,0.9529645152942976
35,tani,continuous,post,1,right,palm,180,True,0.45363254918629536
36,tani,continuous,post,1,right,back,300,True,0.6393969155506056
37,tani,continuous,post,1,left,back,120,False,0.5852271813200787
38,tani,continuous,post,1,right,palm,60,True,0.5813633866855525
39,tani,continuous,post,1,left,palm,300,True,0.5941177011336549
40,tani,continuous,post,1,right,palm,0,True,0.6300544003279356
41,tani,continuous,post,1,left,back,180,True,0.7767334215350274
42,tani,continuous,post,1,right,back,120,True,0.46194734943128424
43,tani,continuous,post,1,left,palm,60,True,0.7034910133370431
44,tani,continuous,post,1,left,back,60,True,0.790819590249157
45,tani,continuous,post,1,right,back,60,True,0.5233570541531662
46,tani,continuous,post,1,left,palm,180,True,1.1539775978817488
47,tani,continuous,post,1,left,back,300,True,0.566788450061722
48,tani,continuous,post,2,right,back,240,True,0.49959971593125374
49,tani,continuous,post,2,left,palm,60,True,0.7470511130195518
50,tani,continuous,post,2,right,palm,180,True,0.5854658195712545
51,tani,continuous,post,2,right,back,0,True,0.48483632020361256
52,tani,continuous,post,2,right,palm,240,True,0.4370542769902386
53,tani,continuous,post,2,left,back,180,True,1.4073589448744315
54,tani,continuous,post,2,left,back,60,True,1.1057527523844328
55,tani,continuous,post,2,left,palm,180,True,0.7685358336602803
56,tani,continuous,post,2,left,palm,120,True,0.501026948884828
57,tani,continuous,post,2,left,back,300,False,0.40447881482032244
58,tani,continuous,post,2,right,back,300,True,0.5040591485776531
59,tani,continuous,post,2,left,back,240,True,0.6466131371307711
60,tani,continuous,post,2,right,back,180,False,0.5127998970347107
61,tani,continuous,post,2,right,palm,0,True,0.5602555842524453
62,tani,continuous,post,2,right,palm,60,True,0.5174378295669158
63,tani,continuous,post,2,right,palm,300,True,0.7091068647387146
64,tani,continuous,post,2,right,back,60,True,0.476327698204841
65,tani,continuous,post,2,right,back,120,True,0.4612758681214473
66,tani,continuous,post,2,left,back,120,False,0.5747117763203278
67,tani,continuous,post,2,left,back,0,True,0.8755687289667549
68,tani,continuous,post,2,left,palm,240,True,0.7319667239426053
69,tani,continuous,post,2,right,palm,120,True,0.8910970694596472
70,tani,continuous,post,2,left,palm,0,True,0.83492668098188
71,tani,continuous,post,2,left,palm,300,True,0.4684924727444013
