,pid,condition,day,timing,block,hand,RT
0,Okubo,control,Day1,pre,0,left,26.41954957491361
1,Okubo,control,Day1,pre,0,right,33.24525280151056
2,Okubo,control,Day1,pre,1,right,29.86050382185249
3,Okubo,control,Day1,pre,1,left,27.82751542243432
4,Okubo,control,Day1,pre,2,right,37.88163269996494
5,Okubo,control,Day1,pre,2,left,32.586067810828354
6,Okubo,control,Day1,pre,3,left,27.803194612825788
7,Okubo,control,Day1,pre,3,right,29.835444114385158
8,Okubo,control,Day1,pre,4,left,25.270913892927183
9,Okubo,control,Day1,pre,4,right,26.900647924172066
0,Okubo,control,Day1,post,0,left,20.20878556831758
1,Okubo,control,Day1,post,0,right,17.482688760823294
2,Okubo,control,Day1,post,1,right,14.754914590072076
3,Okubo,control,Day1,post,1,left,16.094472821850104
4,Okubo,control,Day1,post,2,right,14.395031496047523
5,Okubo,control,Day1,post,2,left,18.032820624787746
6,Okubo,control,Day1,post,3,right,15.190194377251828
7,Okubo,control,Day1,post,3,left,16.427071853890084
8,Okubo,control,Day1,post,4,right,14.819606648930858
9,Okubo,control,Day1,post,4,left,18.50611515545006
