,block,hand,RT
0,0,left,12.2394081771331
1,0,right,12.081032817164896
2,0,right,11.880707686909773
3,0,left,11.730470925586815
4,0,left,12.448136591479852
5,0,right,13.249073600939937
6,0,left,12.131028871781382
7,0,right,13.399275121942992
8,0,left,12.264523033762543
9,0,right,12.36456264081744
0,1,left,12.164320631751707
1,1,right,11.997437032826383
2,1,right,12.231190287767731
3,1,left,12.381323243365841
4,1,left,11.563735948880094
5,1,right,14.099577269380916
6,1,left,13.465994623553343
7,1,right,14.366986944994096
8,1,left,13.866535332634157
9,1,right,14.517083128083868
0,2,left,10.729363536841447
1,2,right,10.862928562509296
2,2,right,11.413562773351714
3,2,left,12.047579411379047
4,2,left,11.813916172472545
5,2,right,12.98200062360047
6,2,left,12.047510462927676
7,2,right,12.181019946787274
8,2,left,11.480216773932625
9,2,right,12.348029185113319
0,3,left,11.880793872474896
1,3,right,13.365878024059839
2,3,right,12.948599695247594
3,3,left,13.048895560715664
4,3,left,11.847364598647346
5,3,right,11.213264073336632
6,3,left,11.864010670155949
7,3,right,13.432945332304826
8,3,left,11.313367649232987
9,3,right,14.750845193105306
0,4,left,12.715158623574098
1,4,right,13.432564200585148
2,4,right,13.165503480747702
3,4,left,12.464762361500107
4,4,left,11.747157983119905
5,4,right,10.72924938884853
6,4,left,12.998904868756654
7,4,right,10.962974681362539
8,4,left,12.631455969135459
9,4,right,11.196580080179501
