,pid,condition,day,block,hand,RT
0,Okubo,control,Day3,0,right,15.614236946898927
1,Okubo,control,Day3,0,left,17.203715251869653
2,Okubo,control,Day3,0,right,16.502891623676078
3,Okubo,control,Day3,0,left,18.1380188183457
4,Okubo,control,Day3,0,right,16.903330365993497
5,Okubo,control,Day3,0,left,17.60410687937565
6,Okubo,control,Day3,0,right,17.537349021927184
7,Okubo,control,Day3,0,left,17.837841927126647
8,Okubo,control,Day3,0,right,21.541658686515802
9,Okubo,control,Day3,0,left,15.935571452867407
0,Okubo,control,Day3,1,right,16.886646743102574
1,Okubo,control,Day3,1,left,17.236959539485724
2,Okubo,control,Day3,1,right,18.071234530636502
3,Okubo,control,Day3,1,left,17.854550831135384
4,Okubo,control,Day3,1,right,14.767514069325443
5,Okubo,control,Day3,1,left,15.752250785630167
6,Okubo,control,Day3,1,right,16.669767306458198
7,Okubo,control,Day3,1,left,14.667323465015215
8,Okubo,control,Day3,1,right,18.972599481200632
9,Okubo,control,Day3,1,left,17.737676220885987
0,Okubo,control,Day3,2,right,15.468280623477767
1,Okubo,control,Day3,2,left,13.48265945107778
2,Okubo,control,Day3,2,right,13.1989715947484
3,Okubo,control,Day3,2,left,14.366946623131298
4,Okubo,control,Day3,2,right,15.318138742778501
5,Okubo,control,Day3,2,left,14.734022333186658
6,Okubo,control,Day3,2,right,14.216933446306939
7,Okubo,control,Day3,2,left,15.651911558986285
8,Okubo,control,Day3,2,right,16.4860287346728
9,Okubo,control,Day3,2,left,15.501647869261433
0,Okubo,control,Day3,3,right,13.682770994436396
1,Okubo,control,Day3,3,left,15.685307150266453
2,Okubo,control,Day3,3,right,13.098916972210645
3,Okubo,control,Day3,3,left,15.017715552177833
4,Okubo,control,Day3,3,right,13.032151453817278
5,Okubo,control,Day3,3,left,13.61630157156651
6,Okubo,control,Day3,3,right,13.265722557346635
7,Okubo,control,Day3,3,left,12.998724835711073
8,Okubo,control,Day3,3,right,13.415935301787613
9,Okubo,control,Day3,3,left,13.69965993065307
0,Okubo,control,Day3,4,right,14.28353272219374
1,Okubo,control,Day3,4,left,13.098784054815042
2,Okubo,control,Day3,4,right,16.08567885931643
3,Okubo,control,Day3,4,left,14.150189378559844
4,Okubo,control,Day3,4,right,15.618332105028458
5,Okubo,control,Day3,4,left,15.885518285908802
6,Okubo,control,Day3,4,right,14.95107299195206
7,Okubo,control,Day3,4,left,14.71737088626378
8,Okubo,control,Day3,4,right,15.768662061927898
9,Okubo,control,Day3,4,left,15.15131362223292
