,day,block,trial,C4,C3
0,Day1,0,0,613.3394518175053,1247.3264754864995
1,Day1,0,0,722.4447497978242,454.6860071236888
2,Day1,0,0,631.1650044016134,638.7718599598475
3,Day1,0,0,750.3339660745288,693.1390103271525
4,Day1,0,0,1189.837558525976,1441.1395603777344
5,Day1,0,0,863.8113964262129,1996.051822258849
6,Day1,0,0,498.4389489813036,540.3487717614125
7,Day1,0,0,991.679347405232,843.2957805690281
8,Day1,0,0,,
9,Day1,0,0,629.2600564226399,812.0306090750305
0,Day1,0,1,,
1,Day1,0,1,388.516648015644,409.55181356010775
2,Day1,0,1,,
3,Day1,0,1,,
4,Day1,0,1,991.7504832384053,1346.329148221713
5,Day1,0,1,933.897205153329,1202.8773217606822
6,Day1,0,1,1044.6398090622122,1213.8980833518656
7,Day1,0,1,1335.8741361097455,945.9427415357904
8,Day1,0,1,1022.1371890284712,688.9333146260752
9,Day1,0,1,475.7781981434565,436.0899500027736
0,Day1,0,2,,
1,Day1,0,2,,
2,Day1,0,2,495.0142538207327,660.2968714125269
3,Day1,0,2,968.5736586726152,1217.7366500456035
4,Day1,0,2,522.9289686561901,695.6567504790828
5,Day1,0,2,741.6829288408012,1395.7894484540313
6,Day1,0,2,,
7,Day1,0,2,830.3865845624972,1022.4430126673487
8,Day1,0,2,707.5250804531171,546.6684536189416
9,Day1,0,2,246.0015242088872,611.9505906489054
0,Day1,0,3,924.9353591521376,882.3183345816764
1,Day1,0,3,,
2,Day1,0,3,3494.838167317793,1107.207120575484
3,Day1,0,3,,
4,Day1,0,3,,
5,Day1,0,3,,
6,Day1,0,3,,
7,Day1,0,3,,
8,Day1,0,3,838.3050599377757,857.9794290945622
9,Day1,0,3,,
0,Day1,0,4,,
1,Day1,0,4,,
2,Day1,0,4,,
3,Day1,0,4,1100.5979847803767,1036.8942723486427
4,Day1,0,4,,
5,Day1,0,4,912.9600831409294,923.6698205436736
6,Day1,0,4,,
7,Day1,0,4,,
8,Day1,0,4,451.3465251710993,742.8972900081619
9,Day1,0,4,646.0291687118871,626.1769409091639
0,Day1,0,5,,
1,Day1,0,5,1045.7140212897566,825.7424372914403
2,Day1,0,5,,
3,Day1,0,5,789.5179377579789,1413.9106340092374
4,Day1,0,5,,
5,Day1,0,5,,
6,Day1,0,5,426.37515708727074,541.4359194942822
7,Day1,0,5,1390.0478559227965,1074.9437097381128
8,Day1,0,5,1556.5810416570655,562.6192547096854
9,Day1,0,5,559.042593651087,749.4153528486862
0,Day1,0,6,225.0638562889205,352.8668155040269
1,Day1,0,6,953.671677321474,1016.6626351181096
2,Day1,0,6,,
3,Day1,0,6,951.3895292603937,1182.9968172984095
4,Day1,0,6,,
5,Day1,0,6,384.4935870108107,706.8753222285229
6,Day1,0,6,621.9169298462009,884.428569132322
7,Day1,0,6,,
8,Day1,0,6,1009.7334940525149,1046.9821473911204
9,Day1,0,6,596.9734209239333,636.591468394292
0,Day1,0,7,,
1,Day1,0,7,,
2,Day1,0,7,,
3,Day1,0,7,1048.711308080038,1295.981852195341
4,Day1,0,7,4416.820045490526,1641.3464278510614
5,Day1,0,7,,
6,Day1,0,7,1450.9899954709927,2266.139400375292
7,Day1,0,7,,
8,Day1,0,7,752.3008120158473,615.397465322288
9,Day1,0,7,571.760866015202,1022.7491896638028
0,Day1,0,8,,
1,Day1,0,8,694.0575989567815,933.3931303180074
2,Day1,0,8,,
3,Day1,0,8,1629.6431895515466,1145.7817242890592
4,Day1,0,8,2115.1319865213973,1259.8535844415221
5,Day1,0,8,,
6,Day1,0,8,1139.6415130538392,865.8748969316298
7,Day1,0,8,576.4772783642572,1115.2443767931418
8,Day1,0,8,1150.4945309386155,1504.6388406266815
9,Day1,0,8,,
0,Day1,0,9,,
1,Day1,0,9,,
2,Day1,0,9,1584.7120444452173,2829.1040712111076
3,Day1,0,9,843.3809436229941,1439.8557184646854
4,Day1,0,9,410.81598620244375,570.6604580467167
5,Day1,0,9,759.022867163981,799.0455194509883
6,Day1,0,9,558.4970407721638,1592.5001262322467
7,Day1,0,9,3301.289809769049,1984.883916047216
8,Day1,0,9,635.3152238465582,1208.4041078258858
9,Day1,0,9,,
0,Day1,1,0,,
1,Day1,1,0,,
2,Day1,1,0,7606.961437510415,6744.215797038599
3,Day1,1,0,,
4,Day1,1,0,,
5,Day1,1,0,1035.228502615212,821.2699624550262
6,Day1,1,0,,
7,Day1,1,0,805.2372622508806,831.9686664624222
8,Day1,1,0,,
9,Day1,1,0,2467.102966001225,2436.3362004660958
0,Day1,1,1,,
1,Day1,1,1,1837.4754244280728,1464.831563527702
2,Day1,1,1,325.96949914672086,450.59052486687057
3,Day1,1,1,,
4,Day1,1,1,,
5,Day1,1,1,986.2208635620593,1568.8317213362382
6,Day1,1,1,,
7,Day1,1,1,858.9802138328209,652.0004175249279
8,Day1,1,1,198.44938357158944,1533.8959903451348
9,Day1,1,1,719.3900292144789,1388.9216129041145
0,Day1,1,2,,
1,Day1,1,2,,
2,Day1,1,2,685.8212401559197,880.2335518820164
3,Day1,1,2,,
4,Day1,1,2,795.0565832481119,1207.8465090161235
5,Day1,1,2,,
6,Day1,1,2,254.15638827495525,521.202375764817
7,Day1,1,2,633.7379656030276,730.909978180397
8,Day1,1,2,1258.1544566034554,1149.9936650756301
9,Day1,1,2,403.0452326141312,644.73219058864
0,Day1,1,3,,
1,Day1,1,3,,
2,Day1,1,3,,
3,Day1,1,3,,
4,Day1,1,3,1169.8565685197366,850.7782473473574
5,Day1,1,3,,
6,Day1,1,3,,
7,Day1,1,3,641.3962956447183,904.4413254924092
8,Day1,1,3,,
9,Day1,1,3,602.2065290084498,817.8183351826389
0,Day1,1,4,,
1,Day1,1,4,,
2,Day1,1,4,650.0839596606686,481.15629173577867
3,Day1,1,4,,
4,Day1,1,4,1723.0969845366171,1030.9756453417012
5,Day1,1,4,,
6,Day1,1,4,,
7,Day1,1,4,620.2554205364063,927.5700079687796
8,Day1,1,4,,
9,Day1,1,4,487.52683533579483,483.31861212379096
0,Day1,1,5,,
1,Day1,1,5,2619.603642798074,2279.9959200127564
2,Day1,1,5,1257.6671953587768,1500.8724999474261
3,Day1,1,5,1371.269680571363,2111.8468539558385
4,Day1,1,5,345.99481373984037,931.3901508256488
5,Day1,1,5,493.7187433527677,1264.7660057980574
6,Day1,1,5,,
7,Day1,1,5,,
8,Day1,1,5,377.2495267831367,790.157887895165
9,Day1,1,5,2044.831886569404,2146.0733735009812
0,Day1,1,6,,
1,Day1,1,6,,
2,Day1,1,6,,
3,Day1,1,6,627.9967681723252,1158.1777424861514
