,pid,condition,timing,view,hand,face,angle,response,RT
0,P04,continuous,pre,0,left,back,120,True,1.6387700060586212
1,P04,continuous,pre,0,left,palm,300,True,2.5109204729815247
2,P04,continuous,pre,0,right,back,120,True,1.6848045714286854
3,P04,continuous,pre,0,right,palm,180,True,1.2026263987354469
4,P04,continuous,pre,0,right,back,240,True,2.765324074833188
5,P04,continuous,pre,0,left,back,0,True,1.0074314911180409
6,P04,continuous,pre,0,right,back,60,True,1.122582256430178
7,P04,continuous,pre,0,left,palm,180,True,1.5766034243570175
8,P04,continuous,pre,0,left,back,300,True,2.4047176811000095
9,P04,continuous,pre,0,left,palm,120,True,1.389843207449303
10,P04,continuous,pre,0,left,palm,240,False,10.37653079869051
11,P04,continuous,pre,0,left,back,180,True,3.097494222703972
12,P04,continuous,pre,0,left,back,60,True,1.3345117129938444
13,P04,continuous,pre,0,right,palm,120,True,4.1404628814343605
14,P04,continuous,pre,0,left,palm,60,True,1.8541625888174167
15,P04,continuous,pre,0,right,back,0,True,1.8708944564423289
16,P04,continuous,pre,0,right,palm,300,True,1.1667092487041373
17,P04,continuous,pre,0,right,palm,240,True,1.2347628767893184
18,P04,continuous,pre,0,right,back,180,True,3.931915345121524
19,P04,continuous,pre,0,right,back,300,True,1.4872868679667588
20,P04,continuous,pre,0,left,back,240,True,1.9497266386460976
21,P04,continuous,pre,0,left,palm,0,True,2.202109668593039
22,P04,continuous,pre,0,right,palm,60,True,5.3643207986315256
23,P04,continuous,pre,0,right,palm,0,True,2.091999799289624
24,P04,continuous,pre,1,left,back,180,False,1.5709101996471873
25,P04,continuous,pre,1,right,palm,60,False,5.5105427888192935
26,P04,continuous,pre,1,left,back,300,True,1.6001129221986048
27,P04,continuous,pre,1,left,palm,180,False,5.674913153707165
28,P04,continuous,pre,1,right,palm,180,True,1.3255645056487992
29,P04,continuous,pre,1,right,back,240,True,3.1714015720936004
30,P04,continuous,pre,1,right,palm,300,True,1.4212526626652109
31,P04,continuous,pre,1,right,back,300,True,2.3588918762252438
32,P04,continuous,pre,1,right,back,60,True,2.634200257642078
33,P04,continuous,pre,1,right,palm,0,True,2.5145586515573086
34,P04,continuous,pre,1,right,back,0,True,2.4002766363992123
35,P04,continuous,pre,1,right,palm,120,True,6.242180961271515
36,P04,continuous,pre,1,left,back,120,True,4.6295780318032485
37,P04,continuous,pre,1,right,palm,240,True,1.4993712286523078
38,P04,continuous,pre,1,left,palm,0,True,2.243114446348045
39,P04,continuous,pre,1,right,back,120,True,3.0912934609659715
40,P04,continuous,pre,1,left,palm,240,True,3.0242637170013036
41,P04,continuous,pre,1,left,back,0,True,1.5682430447341176
42,P04,continuous,pre,1,left,back,60,True,1.5237598189269193
43,P04,continuous,pre,1,left,palm,120,False,2.073371083883103
44,P04,continuous,pre,1,left,palm,60,False,1.9842414543236373
45,P04,continuous,pre,1,left,palm,300,False,6.55517233851424
46,P04,continuous,pre,1,left,back,240,True,3.1623850332980514
47,P04,continuous,pre,1,right,back,180,True,2.7646223330812063
48,P04,continuous,pre,2,left,back,60,True,1.1755101321614347
49,P04,continuous,pre,2,right,back,180,True,1.7236999104061397
50,P04,continuous,pre,2,left,palm,0,True,1.721398948226124
51,P04,continuous,pre,2,right,palm,0,True,1.086950476266793
52,P04,continuous,pre,2,left,palm,300,False,4.982255739669199
53,P04,continuous,pre,2,left,back,0,True,1.134612224472221
54,P04,continuous,pre,2,right,palm,300,False,1.1559847041789908
55,P04,continuous,pre,2,right,palm,180,True,1.1767780171066988
56,P04,continuous,pre,2,right,palm,60,True,9.580086085945366
57,P04,continuous,pre,2,right,back,0,True,2.518042079216684
58,P04,continuous,pre,2,left,palm,60,False,4.587146404708619
59,P04,continuous,pre,2,right,back,240,True,4.867245935587562
60,P04,continuous,pre,2,left,back,180,False,4.416096852626652
61,P04,continuous,pre,2,left,back,120,True,2.358990319262375
62,P04,continuous,pre,2,left,palm,120,True,1.7064509296033066
63,P04,continuous,pre,2,right,back,60,True,2.3517668225540547
64,P04,continuous,pre,2,right,back,300,False,7.851601920905522
65,P04,continuous,pre,2,right,palm,120,True,5.8777636348386295
66,P04,continuous,pre,2,left,palm,240,True,3.6955559292400717
67,P04,continuous,pre,2,right,palm,240,False,4.40403853909811
68,P04,continuous,pre,2,right,back,120,False,3.6908689684933056
69,P04,continuous,pre,2,left,back,300,True,5.735178674091003
70,P04,continuous,pre,2,left,back,240,True,3.6798487118358025
71,P04,continuous,pre,2,left,palm,180,False,3.4447905059496406
0,P04,continuous,post,0,left,back,300,True,3.0276150041026995
1,P04,continuous,post,0,left,back,0,True,1.4116421759244986
2,P04,continuous,post,0,right,palm,60,True,5.669807013284299
3,P04,continuous,post,0,left,back,120,True,2.8572096714779036
4,P04,continuous,post,0,right,back,300,True,1.9125561259570532
5,P04,continuous,post,0,left,back,60,True,1.3904133306496078
6,P04,continuous,post,0,right,back,120,True,1.3862611016520532
7,P04,continuous,post,0,left,palm,120,True,1.8853617074055364
8,P04,continuous,post,0,left,palm,240,False,6.620010526137776
9,P04,continuous,post,0,right,palm,180,True,1.0640328102745116
10,P04,continuous,post,0,right,palm,300,True,1.136814412981039
11,P04,continuous,post,0,right,palm,0,True,1.510336139021092
12,P04,continuous,post,0,right,back,0,True,1.0286228006443707
13,P04,continuous,post,0,left,palm,0,True,1.5826262924965704
14,P04,continuous,post,0,left,back,240,True,1.2750116254755994
15,P04,continuous,post,0,left,back,180,True,2.0676215771964053
16,P04,continuous,post,0,left,palm,180,True,2.106549873104086
17,P04,continuous,post,0,right,back,180,True,2.8081543801818043
18,P04,continuous,post,0,right,palm,240,True,1.1609770148788812
19,P04,continuous,post,0,right,back,240,True,1.805741567412042
20,P04,continuous,post,0,left,palm,60,True,1.4875088388071163
21,P04,continuous,post,0,right,palm,120,True,2.1104952567256987
22,P04,continuous,post,0,left,palm,300,False,8.180127447383711
23,P04,continuous,post,0,right,back,60,True,1.303765045129694
24,P04,continuous,post,1,left,back,120,True,1.3502945248037577
25,P04,continuous,post,1,right,back,0,True,1.0835547983151628
26,P04,continuous,post,1,left,back,300,True,1.0022890886029927
27,P04,continuous,post,1,right,back,120,True,1.013174133913708
28,P04,continuous,post,1,left,palm,60,True,1.367997422858025
29,P04,continuous,post,1,right,back,240,True,2.267787359916838
30,P04,continuous,post,1,right,palm,60,True,5.370497570344014
31,P04,continuous,post,1,left,palm,120,False,1.4743699452228611
32,P04,continuous,post,1,right,palm,180,True,1.5059870238910662
33,P04,continuous,post,1,right,back,60,True,1.7354788814700441
34,P04,continuous,post,1,right,palm,120,True,4.860165261779912
35,P04,continuous,post,1,left,back,180,False,4.880422699978226
36,P04,continuous,post,1,left,palm,180,True,2.2848222240718314
37,P04,continuous,post,1,left,palm,0,True,2.0909705873491475
38,P04,continuous,post,1,right,back,180,True,2.6978544773883186
39,P04,continuous,post,1,right,back,300,True,1.4472486886370461
40,P04,continuous,post,1,left,palm,300,True,2.424496465624543
41,P04,continuous,post,1,right,palm,300,False,1.4729224107722985
42,P04,continuous,post,1,left,back,0,True,1.592744094756199
43,P04,continuous,post,1,left,back,240,True,1.1394681622914504
44,P04,continuous,post,1,left,back,60,True,1.4969310277956538
45,P04,continuous,post,1,right,palm,240,True,1.368411496616318
46,P04,continuous,post,1,right,palm,0,True,1.8204900243144948
47,P04,continuous,post,1,left,palm,240,False,1.5256737221352523
48,P04,continuous,post,2,right,back,180,False,4.731126318918541
49,P04,continuous,post,2,right,palm,300,False,1.0370099967549322
50,P04,continuous,post,2,left,palm,300,False,2.1744200477551203
51,P04,continuous,post,2,right,palm,180,True,2.3294196149072377
52,P04,continuous,post,2,right,back,0,True,1.006735114598996
53,P04,continuous,post,2,right,back,60,True,0.969497204903746
54,P04,continuous,post,2,left,palm,240,False,2.173821728414623
55,P04,continuous,post,2,right,palm,120,False,2.3526583075581584
56,P04,continuous,post,2,left,palm,0,True,1.4367080025403993
57,P04,continuous,post,2,left,back,240,True,1.3336572633706965
58,P04,continuous,post,2,left,back,0,True,0.9787654090177966
59,P04,continuous,post,2,left,back,60,True,1.406381792097818
60,P04,continuous,post,2,right,palm,240,False,1.3528237838472705
61,P04,continuous,post,2,left,back,180,True,2.5732604114018613
62,P04,continuous,post,2,right,palm,0,False,2.2316786726296414
63,P04,continuous,post,2,right,back,120,True,1.3363519987033214
64,P04,continuous,post,2,left,palm,180,True,1.4934759442694485
65,P04,continuous,post,2,left,back,300,True,1.1652732695365557
66,P04,continuous,post,2,right,palm,60,False,1.3300083580834325
67,P04,continuous,post,2,right,back,300,True,1.2886239650979405
68,P04,continuous,post,2,left,palm,120,False,1.647806711436715
69,P04,continuous,post,2,left,palm,60,True,2.1605357447842835
70,P04,continuous,post,2,left,back,120,True,1.3566213113517733
71,P04,continuous,post,2,right,back,240,True,1.1611593452398665
