,pid,condition,day,block,fatigue,concentrate,difficulty,prediction
0,P09,control,Day1,0,5,5,4,90
1,P09,control,Day1,1,5,4,5,85
2,P09,control,Day1,2,5,4,4,80
3,P09,control,Day1,3,5,5,4,80
4,P09,control,Day1,4,6,4,4,85
0,P09,control,Day2,0,3,6,6,90
1,P09,control,Day2,1,3,5,3,90
2,P09,control,Day2,2,4,5,3,90
3,P09,control,Day2,3,5,5,4,85
4,P09,control,Day2,4,5,5,4,85
0,P09,control,Day3,0,2,5,3,90
1,P09,control,Day3,1,3,5,3,90
2,P09,control,Day3,2,4,5,4,90
3,P09,control,Day3,3,4,4,4,85
4,P09,control,Day3,4,4,5,4,85
