,pid,condition,day,block,hand,RT
0,P10,control,Day2,0,left,14.502339267753994
1,P10,control,Day2,0,right,14.800792217705748
2,P10,control,Day2,0,left,15.751930365120645
3,P10,control,Day2,0,right,16.519407073967162
4,P10,control,Day2,0,left,15.401473811463802
5,P10,control,Day2,0,right,16.36920861733961
6,P10,control,Day2,0,right,18.73878189535753
7,P10,control,Day2,0,left,16.76964896811114
8,P10,control,Day2,0,left,15.034351650887404
9,P10,control,Day2,0,right,16.68635923828697
0,P10,control,Day2,1,left,15.351412638861802
1,P10,control,Day2,1,right,16.102220293367278
2,P10,control,Day2,1,left,15.801965873572044
3,P10,control,Day2,1,right,13.832745228588465
4,P10,control,Day2,1,left,13.365635555339393
5,P10,control,Day2,1,right,11.763839677994838
6,P10,control,Day2,1,right,10.979484771189165
7,P10,control,Day2,1,left,13.232247497362552
8,P10,control,Day2,1,left,15.735237944929395
9,P10,control,Day2,1,right,14.300079367341823
0,P10,control,Day2,2,left,13.51587040143204
1,P10,control,Day2,2,right,14.283486922387965
2,P10,control,Day2,2,left,13.132115192944186
3,P10,control,Day2,2,right,13.215535541778081
4,P10,control,Day2,2,left,14.850411737177634
5,P10,control,Day2,2,right,12.6482449171599
6,P10,control,Day2,2,right,14.934241563198153
7,P10,control,Day2,2,left,12.797979120878153
8,P10,control,Day2,2,left,14.366932552322394
9,P10,control,Day2,2,right,13.13202134644962
0,P10,control,Day2,3,left,14.967640576316626
1,P10,control,Day2,3,right,17.253589341475166
2,P10,control,Day2,3,left,13.716171399719315
3,P10,control,Day2,3,right,12.564789328011102
4,P10,control,Day2,3,left,10.512363606554572
5,P10,control,Day2,3,right,11.763881430102627
6,P10,control,Day2,3,right,15.167896375074632
7,P10,control,Day2,3,left,12.381150489178252
8,P10,control,Day2,3,left,10.445416192000264
9,P10,control,Day2,3,right,12.48134714549815
0,P10,control,Day2,4,left,13.598826880392153
1,P10,control,Day2,4,right,12.664786799898136
2,P10,control,Day2,4,left,14.200090322468894
3,P10,control,Day2,4,right,13.449106849409873
4,P10,control,Day2,4,left,12.097534096916206
5,P10,control,Day2,4,right,11.863928698105154
6,P10,control,Day2,4,right,12.39794365072157
7,P10,control,Day2,4,left,10.312578189463238
8,P10,control,Day2,4,left,13.082077769257012
9,P10,control,Day2,4,right,12.714752976840828
0,P10,control,Day3,0,right,11.99244860655017
1,P10,control,Day3,0,left,11.246475965319405
2,P10,control,Day3,0,right,11.21313055322753
3,P10,control,Day3,0,left,9.945001693067752
4,P10,control,Day3,0,right,10.278818942759244
5,P10,control,Day3,0,left,12.147659734531771
6,P10,control,Day3,0,left,11.346672315336036
7,P10,control,Day3,0,right,13.832914024282218
8,P10,control,Day3,0,left,11.480177304911194
9,P10,control,Day3,0,right,12.83166375806104
0,P10,control,Day3,1,right,11.847204367964878
1,P10,control,Day3,1,left,13.5825210178009
2,P10,control,Day3,1,right,13.666072432701185
3,P10,control,Day3,1,left,11.980679096803215
4,P10,control,Day3,1,right,9.427774143085117
5,P10,control,Day3,1,left,9.678009717139503
6,P10,control,Day3,1,left,9.327555576324812
7,P10,control,Day3,1,right,10.128551422560122
8,P10,control,Day3,1,left,11.480012594594882
9,P10,control,Day3,1,right,10.42889647152333
0,P10,control,Day3,2,right,11.897306564969767
1,P10,control,Day3,2,left,12.78167149561341
2,P10,control,Day3,2,right,10.946272260789556
3,P10,control,Day3,2,left,9.911566264872818
4,P10,control,Day3,2,right,10.695943223206996
5,P10,control,Day3,2,left,13.232201709615765
6,P10,control,Day3,2,left,11.146309492982255
7,P10,control,Day3,2,right,10.128530738009431
8,P10,control,Day3,2,left,12.030801595312369
9,P10,control,Day3,2,right,11.997373445021367
0,P10,control,Day3,3,right,11.263235814611107
1,P10,control,Day3,3,left,9.928349480054749
2,P10,control,Day3,3,right,9.627661220754817
3,P10,control,Day3,3,left,9.394341013176017
4,P10,control,Day3,3,right,9.344233453506604
5,P10,control,Day3,3,left,9.71144476228801
6,P10,control,Day3,3,left,14.049835979167256
7,P10,control,Day3,3,right,7.692369775428233
8,P10,control,Day3,3,left,12.231054100058827
9,P10,control,Day3,3,right,10.845722358160856
0,P10,control,Day3,4,right,8.760251876548864
1,P10,control,Day3,4,left,11.964007731425227
2,P10,control,Day3,4,right,11.51354838116822
3,P10,control,Day3,4,left,11.663713627745892
4,P10,control,Day3,4,right,10.829384626937099
5,P10,control,Day3,4,left,12.56483457721697
6,P10,control,Day3,4,left,9.828147767373594
7,P10,control,Day3,4,right,12.064158881868934
8,P10,control,Day3,4,left,11.73045922768506
9,P10,control,Day3,4,right,11.062912446126575
