,pid,condition,day,timing,block,hand,RT
0,P15,control,Day1,pre,0,right,13.468034910912136
1,P15,control,Day1,pre,0,left,15.947813279859474
2,P15,control,Day1,pre,1,right,17.689471758894797
3,P15,control,Day1,pre,1,left,18.887163517061712
4,P15,control,Day1,pre,2,left,18.71243160215272
5,P15,control,Day1,pre,2,right,20.24973790002059
6,P15,control,Day1,pre,3,left,18.918894372846808
7,P15,control,Day1,pre,3,right,22.29362207423856
8,P15,control,Day1,pre,4,right,20.625409812517322
9,P15,control,Day1,pre,4,left,21.978901382608452
0,P15,control,Day1,post,0,right,12.8107115291441
1,P15,control,Day1,post,0,left,12.442093045972797
2,P15,control,Day1,post,1,left,15.993572852685247
3,P15,control,Day1,post,1,right,16.777261557966995
4,P15,control,Day1,post,2,right,17.426065972202196
5,P15,control,Day1,post,2,left,15.786815135723373
6,P15,control,Day1,post,3,left,15.276416747585245
7,P15,control,Day1,post,3,right,25.598294291257844
8,P15,control,Day1,post,4,left,14.42317664791699
9,P15,control,Day1,post,4,right,16.736339103938008
