,pid,hand,lateral,day,timing,trial,RT
0,T03,right,left,Day1,pre,0,8.462194554609598
1,T03,right,left,Day1,pre,1,7.551209958284744
2,T03,right,left,Day1,pre,2,4.809895055543166
3,T03,right,left,Day1,pre,3,3.5774072579515632
4,T03,right,left,Day1,pre,4,4.490243482418009
5,T03,right,left,Day1,pre,5,4.265678823212511
6,T03,right,left,Day1,pre,6,4.5062989798607305
7,T03,right,left,Day1,pre,7,4.378132590354654
8,T03,right,left,Day1,pre,8,4.66459365193441
9,T03,right,left,Day1,pre,9,3.9218070081115
0,T03,right,left,Day1,post,0,5.8942890996986534
1,T03,right,left,Day1,post,1,5.674463518764242
2,T03,right,left,Day1,post,2,5.466387191787362
3,T03,right,left,Day1,post,3,6.296366912298254
4,T03,right,left,Day1,post,4,5.030472699785605
5,T03,right,left,Day1,post,5,6.218995895265834
6,T03,right,left,Day1,post,6,6.770814495335799
7,T03,right,left,Day1,post,7,6.019624071166618
8,T03,right,left,Day1,post,8,6.0749194860545686
9,T03,right,left,Day1,post,9,4.467127945856191
