,pid,hand,lateral,day,trial,block,RT
0,T03,right,left,Day1,0,0,6.424955341426539
1,T03,right,left,Day1,1,0,6.201608993913396
2,T03,right,left,Day1,2,0,8.56941575014207
3,T03,right,left,Day1,3,0,6.166421890549827
4,T03,right,left,Day1,4,0,5.895562929392327
5,T03,right,left,Day1,5,0,7.758521884636139
6,T03,right,left,Day1,6,0,7.7447744966775645
7,T03,right,left,Day1,7,0,7.513502954534488
8,T03,right,left,Day1,8,0,5.563300545152742
9,T03,right,left,Day1,9,0,7.485725448073936
0,T03,right,left,Day1,0,1,4.5609425722796
1,T03,right,left,Day1,1,1,4.505280121724354
2,T03,right,left,Day1,2,1,7.037606248864904
3,T03,right,left,Day1,3,1,6.025954151395126
4,T03,right,left,Day1,4,1,6.6202270583453355
5,T03,right,left,Day1,5,1,7.041752106990316
6,T03,right,left,Day1,6,1,6.724457478601835
7,T03,right,left,Day1,7,1,7.172776131366845
8,T03,right,left,Day1,8,1,5.715452253236435
9,T03,right,left,Day1,9,1,5.046990333183203
0,T03,right,left,Day1,0,2,4.62126442247245
1,T03,right,left,Day1,1,2,5.300829428655561
2,T03,right,left,Day1,2,2,5.008053708515945
3,T03,right,left,Day1,3,2,6.376198713318445
4,T03,right,left,Day1,4,2,4.87595427990891
5,T03,right,left,Day1,5,2,5.815902822942007
6,T03,right,left,Day1,6,2,4.264890261983965
7,T03,right,left,Day1,7,2,5.742929551255656
8,T03,right,left,Day1,8,2,6.808949193320586
9,T03,right,left,Day1,9,2,6.635765415878268
0,T03,right,left,Day1,0,3,4.354107689505327
1,T03,right,left,Day1,1,3,4.916071176136029
2,T03,right,left,Day1,2,3,5.230238290459965
3,T03,right,left,Day1,3,3,4.348428403623984
4,T03,right,left,Day1,4,3,5.149489928371622
5,T03,right,left,Day1,5,3,6.850505959184375
6,T03,right,left,Day1,6,3,6.413645604960038
7,T03,right,left,Day1,7,3,8.230588362290291
8,T03,right,left,Day1,8,3,7.749084338516695
9,T03,right,left,Day1,9,3,6.166059995433898
0,T03,right,left,Day1,0,4,5.468466032500146
1,T03,right,left,Day1,1,4,5.4941837183141615
2,T03,right,left,Day1,2,4,9.767259287051274
3,T03,right,left,Day1,3,4,5.877294936813996
4,T03,right,left,Day1,4,4,8.826568961841986
5,T03,right,left,Day1,5,4,5.80909107264597
6,T03,right,left,Day1,6,4,7.917955703829648
7,T03,right,left,Day1,7,4,7.713049557525665
8,T03,right,left,Day1,8,4,8.078228461716208
9,T03,right,left,Day1,9,4,6.1587239084765315
