,pid,condition,day,timing,block,hand,RT
0,Yu,continuous,Day1,pre,0,left,75.7745374509409
1,Yu,continuous,Day1,pre,0,right,13.214503941941985
2,Yu,continuous,Day1,pre,1,right,12.863393755252671
3,Yu,continuous,Day1,pre,1,left,12.640719792296295
4,Yu,continuous,Day1,pre,2,right,13.494143969184735
5,Yu,continuous,Day1,pre,2,left,12.526397721326704
6,Yu,continuous,Day1,pre,3,right,10.904996165694227
7,Yu,continuous,Day1,pre,3,left,11.467163249499205
8,Yu,continuous,Day1,pre,4,right,11.204277338677457
9,Yu,continuous,Day1,pre,4,left,10.716783074814883
0,Yu,continuous,Day1,post,0,right,9.581347423353687
1,Yu,continuous,Day1,post,0,left,9.960038182179233
2,Yu,continuous,Day1,post,1,right,11.019101814802523
3,Yu,continuous,Day1,post,1,left,9.834333853512364
4,Yu,continuous,Day1,post,2,right,12.162745792031275
5,Yu,continuous,Day1,post,2,left,10.354873245738418
6,Yu,continuous,Day1,post,3,left,10.894506408768391
7,Yu,continuous,Day1,post,3,right,10.490917559742227
8,Yu,continuous,Day1,post,4,left,10.952485250754762
9,Yu,continuous,Day1,post,4,right,10.954697733353896
0,Yu,continuous,Day2,post,0,right,9.565823937831738
1,Yu,continuous,Day2,post,0,left,7.871545586800494
2,Yu,continuous,Day2,post,1,left,8.95748829983131
3,Yu,continuous,Day2,post,1,right,7.222196728318522
4,Yu,continuous,Day2,post,2,left,7.374069100136694
5,Yu,continuous,Day2,post,2,right,7.8447495370892275
6,Yu,continuous,Day2,post,3,right,8.026409172289277
7,Yu,continuous,Day2,post,3,left,7.861159651671188
8,Yu,continuous,Day2,post,4,left,8.111698024167707
9,Yu,continuous,Day2,post,4,right,7.2112733783142176
0,Yu,continuous,Day2,pre,0,right,9.42725823416913
1,Yu,continuous,Day2,pre,0,left,7.392982043522352
2,Yu,continuous,Day2,pre,1,left,8.755583483936789
3,Yu,continuous,Day2,pre,1,right,8.442628376273207
4,Yu,continuous,Day2,pre,2,left,8.048360061071435
5,Yu,continuous,Day2,pre,2,right,8.535262919598608
6,Yu,continuous,Day2,pre,3,right,8.59634473612823
7,Yu,continuous,Day2,pre,3,left,7.399753164543654
8,Yu,continuous,Day2,pre,4,left,7.444659674270952
9,Yu,continuous,Day2,pre,4,right,7.442764357940178
0,Yu,continuous,Day2,post,0,left,8.828051371190668
1,Yu,continuous,Day2,post,0,right,9.31427815184361
2,Yu,continuous,Day2,post,1,left,8.08117607672466
3,Yu,continuous,Day2,post,1,right,9.554880669380509
4,Yu,continuous,Day2,post,2,left,7.2118261150681064
5,Yu,continuous,Day2,post,2,right,8.835994998938986
6,Yu,continuous,Day2,post,3,right,9.54090864866157
7,Yu,continuous,Day2,post,3,left,7.737089210870181
8,Yu,continuous,Day2,post,4,right,8.318488987013552
9,Yu,continuous,Day2,post,4,left,8.223360041920387
