,block,hand,RT
0,0,right,53.313149409225844
1,0,left,38.44560801519356
2,0,right,37.81145174252151
3,0,left,32.421601276621004
4,0,right,32.30496713069033
5,0,left,27.51584974117486
6,0,right,29.568293546185487
7,0,left,26.581368490969
8,0,right,19.306119720743027
9,0,left,18.922470411492668
0,1,right,14.86761647135063
1,1,left,14.416966018320636
2,1,right,14.617345465215294
3,1,left,15.48495236037752
4,1,right,14.567217948688267
5,1,left,13.449201001133133
6,1,right,13.766205783864734
7,1,left,11.697046167188091
8,1,right,12.214465637187914
9,1,left,12.365298650676777
0,2,right,16.469896293708643
1,2,left,12.715729694075435
2,2,right,13.866519423191676
3,2,left,15.384872763097974
4,2,right,15.151250918356709
5,2,left,16.419379600879893
6,2,right,13.198955276135166
7,2,left,13.248976305445467
8,2,right,13.18214791610626
9,2,left,13.048818643077084
0,3,right,16.20245977809327
1,3,left,15.618456686132959
2,3,right,14.717033970954617
3,3,left,14.150038189839506
4,3,right,14.533855273913105
5,3,left,14.283499997318359
6,3,right,19.456337559880012
7,3,left,22.042781430774085
8,3,right,14.61714015173311
9,3,left,15.384844034531852
0,4,right,23.06066055782503
1,4,left,19.05623597567228
2,4,right,19.77343465706963
3,4,left,16.63634117584843
4,4,right,16.18582019288806
5,4,left,15.017717097939567
6,4,right,15.85215322514523
7,4,left,17.053492206131523
8,4,right,15.484853917158944
9,4,left,14.617236679713642
