,KR,Unnamed: 0,VR,condition,hand,part,pid,timing
0,4,0.0,4,control,right,1,sha1,pre
1,4,1.0,4,control,right,2,sha1,pre
2,4,2.0,4,control,right,3,sha1,pre
3,4,3.0,4,control,right,4,sha1,pre
4,3,4.0,4,control,right,5,sha1,pre
5,2,5.0,3,control,left,3,sha1,pre
6,5,6.0,3,control,left,4,sha1,pre
7,3,7.0,4,control,left,5,sha1,pre
0,3,,3,control,right,1,sha1,pre
1,4,,4,control,right,2,sha1,pre
2,4,,4,control,right,3,sha1,pre
3,4,,4,control,right,4,sha1,pre
4,4,,4,control,right,5,sha1,pre
5,4,,4,control,left,3,sha1,pre
6,4,,3,control,left,4,sha1,pre
7,4,,4,control,left,5,sha1,pre
