,condition,timing,view,hand,face,angle,response,RT
0,control,pre,0,right,back,300,False,3.5104531638735352
1,control,pre,0,left,back,60,True,1.0715378766544743
2,control,pre,0,right,back,240,True,1.2797772198064197
3,control,pre,0,left,palm,240,True,1.415761239079984
4,control,pre,0,left,back,180,True,1.3215274386211604
5,control,pre,0,right,palm,60,True,0.959413478278293
6,control,pre,0,right,back,60,True,0.9081506677466678
7,control,pre,0,right,palm,300,True,0.6433103696599574
8,control,pre,0,left,back,240,True,0.7172127960711805
9,control,pre,0,right,palm,180,True,1.2035711481266844
10,control,pre,0,right,palm,240,True,1.4861928757063652
11,control,pre,0,right,back,120,True,0.5502437137174638
12,control,pre,0,right,back,0,True,0.5957324722439807
13,control,pre,0,left,palm,0,True,0.7435223862303246
14,control,pre,0,left,palm,60,True,0.7414749994732119
15,control,pre,0,left,palm,180,True,1.003053651492337
16,control,pre,0,left,palm,120,True,1.5576257974562395
17,control,pre,0,right,back,180,True,1.0502573118910732
18,control,pre,0,right,palm,0,True,0.763032890339673
19,control,pre,0,left,back,120,True,1.3922789195776204
20,control,pre,0,left,palm,300,True,0.7152538931950403
21,control,pre,0,right,palm,120,True,1.0185616964390647
22,control,pre,0,left,back,0,True,0.6121134815339246
23,control,pre,0,left,back,300,True,0.5834795615637631
0,control,post,0,right,back,0,True,32.10702527535977
1,control,post,0,right,palm,120,False,0.6387789224536391
2,control,post,0,right,palm,240,False,0.025428964872844517
3,control,post,0,left,back,60,True,0.13261741830137908
4,control,post,0,left,palm,0,True,0.12415858916210708
5,control,post,0,left,palm,180,True,0.004198196231300244
6,control,post,0,right,back,180,False,0.05684074242162751
7,control,post,0,left,palm,300,True,0.051583804000983946
8,control,post,0,right,palm,300,False,0.14227748315170174
9,control,post,0,right,palm,0,False,0.021284012189426
10,control,post,0,right,palm,180,False,0.03287080395966768
11,control,post,0,left,back,120,True,0.0610860534470703
12,control,post,0,left,palm,120,True,0.13413734919595302
13,control,post,0,left,palm,60,True,0.7169435139585403
14,control,post,0,right,back,120,False,0.22027698135570967
15,control,post,0,left,back,180,True,0.06349771799432348
16,control,post,0,left,back,240,True,0.04920737978682155
17,control,post,0,left,back,0,True,0.03604664747399512
18,control,post,0,left,palm,240,True,0.03874751258990728
19,control,post,0,right,back,60,False,0.07354159604074084
20,control,post,0,right,back,240,False,0.09903184845097712
21,control,post,0,right,palm,60,False,0.034690277690970106
22,control,post,0,right,back,300,False,0.11021261029236484
23,control,post,0,left,back,300,True,0.03880152222700417
