,block,hand
0,0,right
1,0,left
2,0,left
3,0,right
4,0,right
5,0,left
6,0,right
7,0,left
8,0,right
9,0,left
10,0,right
11,0,left
12,0,right
13,0,left
14,0,left
15,0,right
16,0,left
17,0,right
18,0,right
19,0,left
0,1,right
1,1,left
2,1,left
3,1,right
4,1,right
5,1,left
6,1,right
7,1,left
8,1,right
9,1,left
10,1,right
11,1,left
12,1,right
13,1,left
14,1,left
15,1,right
16,1,left
17,1,right
18,1,right
19,1,left
0,2,right
1,2,left
2,2,left
3,2,right
4,2,right
5,2,left
6,2,right
7,2,left
8,2,right
9,2,left
10,2,right
11,2,left
12,2,right
13,2,left
14,2,left
15,2,right
16,2,left
17,2,right
18,2,right
19,2,left
0,3,right
1,3,left
2,3,left
3,3,right
4,3,right
5,3,left
6,3,right
7,3,left
8,3,right
9,3,left
10,3,right
11,3,left
12,3,right
13,3,left
14,3,left
15,3,right
16,3,left
17,3,right
18,3,right
19,3,left
0,4,right
1,4,left
2,4,left
3,4,right
4,4,right
5,4,left
6,4,right
7,4,left
8,4,right
9,4,left
10,4,right
11,4,left
12,4,right
13,4,left
14,4,left
15,4,right
16,4,left
17,4,right
18,4,right
19,4,left
