,block,hand,ERD,steps
0,0,left,-48.27357566802474,125
1,0,right,-40.26777750360897,1250
2,0,left,29.265895040479098,625
3,0,right,-49.49682512144632,750
4,0,left,38.485899967956065,250
5,0,right,-45.51401306076562,1125
6,0,left,48.08995493149154,1125
7,0,right,-44.39879132962895,1125
8,0,left,26.6001848819745,250
9,0,right,-40.34305904025446,375
10,0,right,-40.44006058932945,875
11,0,left,7.639317744241796,250
12,0,left,-1.0201836724608333,0
13,0,right,-72.84029626804792,125
14,0,left,-42.42275525128937,125
15,0,right,-83.3469707493262,125
16,0,right,-53.36195738547384,0
17,0,left,-54.882852115399935,0
18,0,right,-78.70663441859031,0
19,0,left,-42.73519269572257,1000
0,1,left,26.66011511122758,7875
1,1,right,-80.85245212130069,125
2,1,left,33.003812959668025,750
3,1,right,-69.52952588565623,0
4,1,left,13.820490884053143,0
5,1,right,-45.034614812207316,875
6,1,left,34.561316400549764,375
7,1,right,-54.58180150307469,0
8,1,left,-2.0521837438971944,1500
9,1,right,-49.387617430928536,0
10,1,right,-93.09763976512473,1500
11,1,left,17.05366518987371,1375
12,1,left,-11.840518591864443,1125
13,1,right,-44.83625185124289,1375
14,1,left,60.15262147226503,0
15,1,right,-47.40648100894336,0
16,1,right,-92.03046658000692,1500
17,1,left,-78.30821919765903,250
18,1,right,-85.05995675066204,1500
19,1,left,52.03414592755126,750
0,2,left,-86.62456066126583,20375
1,2,right,-64.25717826589067,4125
2,2,left,56.413139187560645,250
3,2,right,-76.11403006382123,0
4,2,left,4.303987707106579,500
5,2,right,-89.14305723175137,0
6,2,left,-76.58223632724281,1375
7,2,right,-79.98773966375349,1250
8,2,left,-73.75060539645966,500
9,2,right,-75.40493290455929,750
10,2,right,-77.70379531972958,625
11,2,left,-10.53260681721926,125
12,2,left,11.492690315800044,750
13,2,right,-54.393356006099886,1125
14,2,left,22.268408207971206,250
15,2,right,-42.16608231453638,0
16,2,right,-55.71857817813046,875
17,2,left,24.437333990897997,1000
18,2,right,-52.08467292511318,500
19,2,left,43.73924220333521,1375
0,3,left,-48.96816620304088,4375
1,3,right,-76.7539700148578,3500
2,3,left,-46.412985385635196,1125
3,3,right,-68.934514115818,1500
4,3,left,-37.617025815101904,0
5,3,right,-63.84163855475237,125
6,3,left,-62.150728545104236,625
7,3,right,-78.37720491828476,1375
8,3,left,32.576341837801046,0
9,3,right,-74.56881421623703,0
10,3,right,-94.77105635853907,250
11,3,left,7.614852441541569,750
12,3,left,-1.9828460401161538,125
13,3,right,-54.8146930992384,1500
14,3,left,38.21704392311301,1000
15,3,right,-84.77753916978855,875
16,3,right,-89.13404029745169,1375
17,3,left,-79.32924276321484,1125
18,3,right,-96.14740502064231,1250
19,3,left,18.968156824157134,375
0,4,left,-50.88738293444356,13625
1,4,right,-73.88975256895917,2875
2,4,left,20.55477997989136,750
3,4,right,-77.48435404054673,0
4,4,left,0.912382660457156,250
5,4,right,-59.24223941759897,1375
6,4,left,-12.346867840010114,125
7,4,right,-59.9827869358069,1375
8,4,left,16.060443648845553,1375
9,4,right,-43.55372213477536,1500
10,4,right,-88.04311103343808,0
11,4,left,-27.53063384645709,0
12,4,left,-72.86617782217807,0
13,4,right,-77.73818623426635,0
14,4,left,27.521644571013812,1375
15,4,right,-81.40378553368126,0
16,4,right,-74.97502477752877,0
17,4,left,30.491942373714842,500
18,4,right,-48.01305672829677,1375
19,4,left,-15.618693413814908,1125
