,pid,condition,timing,view,hand,face,angle,response,RT
0,tani,continuous,pre,0,left,palm,240,False,0.9872069978082436
1,tani,continuous,pre,0,right,palm,180,True,0.6546387369253353
2,tani,continuous,pre,0,right,palm,60,False,0.9917227383575664
3,tani,continuous,pre,0,left,back,0,True,0.8754515165983321
4,tani,continuous,pre,0,left,back,240,True,0.7478091629418486
5,tani,continuous,pre,0,right,back,180,True,1.08230261782046
6,tani,continuous,pre,0,left,palm,300,True,0.9552865459354507
7,tani,continuous,pre,0,left,palm,0,True,0.6960484110059042
8,tani,continuous,pre,0,right,palm,240,True,0.5201141786365042
9,tani,continuous,pre,0,right,palm,300,True,0.48762720031845674
10,tani,continuous,pre,0,left,back,120,True,1.2245214402864804
11,tani,continuous,pre,0,right,back,240,True,0.4584413206539466
12,tani,continuous,pre,0,left,palm,120,True,0.5798537986393058
13,tani,continuous,pre,0,right,back,0,True,0.41732084702380234
14,tani,continuous,pre,0,left,palm,180,True,0.4608640926435328
15,tani,continuous,pre,0,left,back,60,True,0.7584233940560807
16,tani,continuous,pre,0,right,back,60,True,0.5156658543528465
17,tani,continuous,pre,0,right,palm,0,True,1.0351384293389856
18,tani,continuous,pre,0,left,back,180,True,2.0844967107750563
19,tani,continuous,pre,0,right,back,120,True,0.6108373176593886
20,tani,continuous,pre,0,right,back,300,True,0.5183755285088409
21,tani,continuous,pre,0,right,palm,120,True,0.8217084966709081
22,tani,continuous,pre,0,left,palm,60,True,1.832133885634903
23,tani,continuous,pre,0,left,back,300,True,0.697339279242442
